,fold,k,distance,votes,weighting,acc,corr,incorr,time
0,0,1,euclidean,majority,equal,0.3716216216216216,55,93,10.913757801055908
1,1,1,euclidean,majority,equal,0.43537414965986393,64,83,11.613975286483765
2,2,1,euclidean,majority,equal,0.4594594594594595,68,80,10.926395177841187
3,3,1,euclidean,majority,equal,0.4689655172413793,68,77,11.16923451423645
4,4,1,euclidean,majority,equal,0.41496598639455784,61,86,11.235663414001465
5,5,1,euclidean,majority,equal,0.43537414965986393,64,83,10.954577922821045
6,6,1,euclidean,majority,equal,0.5167785234899329,77,72,10.862628936767578
7,7,1,euclidean,majority,equal,0.43537414965986393,64,83,10.751338005065918
8,8,1,euclidean,majority,equal,0.4489795918367347,66,81,10.503205060958862
9,9,1,euclidean,majority,equal,0.49324324324324326,73,75,10.751171350479126
10,0,1,euclidean,majority,correlation,0.3581081081081081,53,95,10.862610340118408
11,1,1,euclidean,majority,correlation,0.40816326530612246,60,87,11.063770771026611
12,2,1,euclidean,majority,correlation,0.4189189189189189,62,86,10.798026323318481
13,3,1,euclidean,majority,correlation,0.4827586206896552,70,75,10.565745830535889
14,4,1,euclidean,majority,correlation,0.4217687074829932,62,85,10.767189979553223
15,5,1,euclidean,majority,correlation,0.4557823129251701,67,80,11.455347061157227
16,6,1,euclidean,majority,correlation,0.4899328859060403,73,76,10.657407999038696
17,7,1,euclidean,majority,correlation,0.41496598639455784,61,86,10.78377389907837
18,8,1,euclidean,majority,correlation,0.47619047619047616,70,77,10.626252889633179
19,9,1,euclidean,majority,correlation,0.4797297297297297,71,77,11.315836429595947
20,0,1,euclidean,majority,information_gain,0.3918918918918919,58,90,10.987436056137085
21,1,1,euclidean,majority,information_gain,0.46938775510204084,69,78,10.93881893157959
22,2,1,euclidean,majority,information_gain,0.4527027027027027,67,81,10.673134326934814
23,3,1,euclidean,majority,information_gain,0.46206896551724136,67,78,10.408548355102539
24,4,1,euclidean,majority,information_gain,0.4013605442176871,59,88,10.518766164779663
25,5,1,euclidean,majority,information_gain,0.46258503401360546,68,79,11.079594850540161
26,6,1,euclidean,majority,information_gain,0.42953020134228187,64,85,11.032747745513916
27,7,1,euclidean,majority,information_gain,0.41496598639455784,61,86,10.722242593765259
28,8,1,euclidean,majority,information_gain,0.4557823129251701,67,80,11.03281021118164
29,9,1,euclidean,majority,information_gain,0.40540540540540543,60,88,11.017126560211182
30,0,1,euclidean,sheppard,equal,0.3716216216216216,55,93,10.861850023269653
31,1,1,euclidean,sheppard,equal,0.43537414965986393,64,83,10.831098556518555
