,fold,k,distance,votes,weighting,acc,corr,incorr,time
0,0,1,euclidean,majority,equal,0.3716216216216216,55,93,10.379674196243286
1,1,1,euclidean,majority,equal,0.43537414965986393,64,83,9.802967309951782
2,2,1,euclidean,majority,equal,0.4594594594594595,68,80,9.745033025741577
3,3,1,euclidean,majority,equal,0.4689655172413793,68,77,9.535998821258545
4,4,1,euclidean,majority,equal,0.41496598639455784,61,86,9.636964797973633
5,5,1,euclidean,majority,equal,0.43537414965986393,64,83,9.776003360748291
6,6,1,euclidean,majority,equal,0.5167785234899329,77,72,9.948999881744385
7,7,1,euclidean,majority,equal,0.43537414965986393,64,83,9.923032522201538
8,8,1,euclidean,majority,equal,0.4489795918367347,66,81,10.180001020431519
9,9,1,euclidean,majority,equal,0.49324324324324326,73,75,10.184001207351685
10,0,1,euclidean,majority,correlation,0.3581081081081081,53,95,9.589950799942017
11,1,1,euclidean,majority,correlation,0.40816326530612246,60,87,9.658004522323608
12,2,1,euclidean,majority,correlation,0.4189189189189189,62,86,9.872002124786377
13,3,1,euclidean,majority,correlation,0.4827586206896552,70,75,9.484035015106201
14,4,1,euclidean,majority,correlation,0.4217687074829932,62,85,9.467983961105347
15,5,1,euclidean,majority,correlation,0.4557823129251701,67,80,9.623947620391846
16,6,1,euclidean,majority,correlation,0.4899328859060403,73,76,9.668982744216919
17,7,1,euclidean,majority,correlation,0.41496598639455784,61,86,9.662988424301147
18,8,1,euclidean,majority,correlation,0.47619047619047616,70,77,9.755987405776978
19,9,1,euclidean,majority,correlation,0.4797297297297297,71,77,10.359980344772339
20,0,1,euclidean,majority,information_gain,0.3918918918918919,58,90,10.19498610496521
21,1,1,euclidean,majority,information_gain,0.4557823129251701,67,80,10.095988273620605
22,2,1,euclidean,majority,information_gain,0.4594594594594595,68,80,10.117000579833984
23,3,1,euclidean,majority,information_gain,0.4827586206896552,70,75,9.667035818099976
24,4,1,euclidean,majority,information_gain,0.46258503401360546,68,79,9.530964374542236
25,5,1,euclidean,majority,information_gain,0.47619047619047616,70,77,9.749035835266113
26,6,1,euclidean,majority,information_gain,0.4697986577181208,70,79,9.99294924736023
27,7,1,euclidean,majority,information_gain,0.40816326530612246,60,87,9.49704098701477
28,8,1,euclidean,majority,information_gain,0.43537414965986393,64,83,9.475745677947998
29,9,1,euclidean,majority,information_gain,0.5135135135135135,76,72,9.748037576675415
30,0,1,euclidean,sheppard,equal,0.3716216216216216,55,93,10.044838666915894
31,1,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.387996912002563
32,2,1,euclidean,sheppard,equal,0.4594594594594595,68,80,9.546964883804321
33,3,1,euclidean,sheppard,equal,0.4689655172413793,68,77,9.359035968780518
34,4,1,euclidean,sheppard,equal,0.41496598639455784,61,86,9.436999559402466
35,5,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.585995435714722
36,6,1,euclidean,sheppard,equal,0.5167785234899329,77,72,9.890002250671387
37,7,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.76199984550476
38,8,1,euclidean,sheppard,equal,0.4489795918367347,66,81,9.70699691772461
39,9,1,euclidean,sheppard,equal,0.49324324324324326,73,75,9.696003198623657
40,0,1,euclidean,sheppard,correlation,0.3581081081081081,53,95,9.702999114990234
41,1,1,euclidean,sheppard,correlation,0.40816326530612246,60,87,9.803999185562134
42,2,1,euclidean,sheppard,correlation,0.4189189189189189,62,86,9.611037731170654
43,3,1,euclidean,sheppard,correlation,0.4827586206896552,70,75,9.37299108505249
44,4,1,euclidean,sheppard,correlation,0.4217687074829932,62,85,10.374988317489624
45,5,1,euclidean,sheppard,correlation,0.4557823129251701,67,80,10.3789644241333
46,6,1,euclidean,sheppard,correlation,0.4899328859060403,73,76,10.255001068115234
47,7,1,euclidean,sheppard,correlation,0.41496598639455784,61,86,9.526999711990356
48,8,1,euclidean,sheppard,correlation,0.47619047619047616,70,77,9.642035722732544
49,9,1,euclidean,sheppard,correlation,0.4797297297297297,71,77,9.732968091964722
50,0,1,euclidean,sheppard,information_gain,0.46621621621621623,69,79,9.710035562515259
51,1,1,euclidean,sheppard,information_gain,0.4489795918367347,66,81,9.813000440597534
52,2,1,euclidean,sheppard,information_gain,0.4391891891891892,65,83,9.85298204421997
53,3,1,euclidean,sheppard,information_gain,0.4827586206896552,70,75,9.930036544799805
54,4,1,euclidean,sheppard,information_gain,0.46938775510204084,69,78,9.594998598098755
55,5,1,euclidean,sheppard,information_gain,0.4557823129251701,67,80,9.663970470428467
56,6,1,euclidean,sheppard,information_gain,0.5100671140939598,76,73,9.672951221466064
57,7,1,euclidean,sheppard,information_gain,0.4489795918367347,66,81,9.623985528945923
58,8,1,euclidean,sheppard,information_gain,0.43537414965986393,64,83,9.67996335029602
59,9,1,euclidean,sheppard,information_gain,0.44594594594594594,66,82,9.756000757217407
60,0,1,euclidean,idw,equal,0.3716216216216216,55,93,9.789969444274902
61,1,1,euclidean,idw,equal,0.43537414965986393,64,83,9.737365007400513
62,2,1,euclidean,idw,equal,0.4594594594594595,68,80,9.676034212112427
63,3,1,euclidean,idw,equal,0.4689655172413793,68,77,9.54800033569336
64,4,1,euclidean,idw,equal,0.41496598639455784,61,86,9.943005084991455
65,5,1,euclidean,idw,equal,0.43537414965986393,64,83,10.341962575912476
66,6,1,euclidean,idw,equal,0.5167785234899329,77,72,10.02100133895874
67,7,1,euclidean,idw,equal,0.43537414965986393,64,83,9.546996116638184
68,8,1,euclidean,idw,equal,0.4489795918367347,66,81,9.854034900665283
69,9,1,euclidean,idw,equal,0.49324324324324326,73,75,9.485004901885986
70,0,1,euclidean,idw,correlation,0.3581081081081081,53,95,9.724964618682861
71,1,1,euclidean,idw,correlation,0.40816326530612246,60,87,9.553002119064331
72,2,1,euclidean,idw,correlation,0.4189189189189189,62,86,9.63200068473816
73,3,1,euclidean,idw,correlation,0.4827586206896552,70,75,9.633005142211914
74,4,1,euclidean,idw,correlation,0.4217687074829932,62,85,9.826038360595703
75,5,1,euclidean,idw,correlation,0.4557823129251701,67,80,10.310989141464233
76,6,1,euclidean,idw,correlation,0.4899328859060403,73,76,10.255988359451294
77,7,1,euclidean,idw,correlation,0.41496598639455784,61,86,10.20003366470337
78,8,1,euclidean,idw,correlation,0.47619047619047616,70,77,9.786981344223022
79,9,1,euclidean,idw,correlation,0.4797297297297297,71,77,9.540984153747559
80,0,1,euclidean,idw,information_gain,0.39864864864864863,59,89,9.716946840286255
81,1,1,euclidean,idw,information_gain,0.4421768707482993,65,82,9.508001804351807
82,2,1,euclidean,idw,information_gain,0.4391891891891892,65,83,10.187999486923218
83,3,1,euclidean,idw,information_gain,0.5241379310344828,76,69,9.756989479064941
84,4,1,euclidean,idw,information_gain,0.42857142857142855,63,84,9.907951593399048
85,5,1,euclidean,idw,information_gain,0.4965986394557823,73,74,9.519038200378418
86,6,1,euclidean,idw,information_gain,0.40939597315436244,61,88,9.502036571502686
87,7,1,euclidean,idw,information_gain,0.43537414965986393,64,83,9.527966260910034
88,8,1,euclidean,idw,information_gain,0.5034013605442177,74,73,9.902966976165771
89,9,1,euclidean,idw,information_gain,0.41216216216216217,61,87,10.140986919403076
90,0,1,manhattan,majority,equal,0.39864864864864863,59,89,9.480995893478394
91,1,1,manhattan,majority,equal,0.42857142857142855,63,84,9.360604763031006
92,2,1,manhattan,majority,equal,0.43243243243243246,64,84,9.824057579040527
93,3,1,manhattan,majority,equal,0.5172413793103449,75,70,9.332967042922974
94,4,1,manhattan,majority,equal,0.4489795918367347,66,81,9.7740318775177
95,5,1,manhattan,majority,equal,0.46938775510204084,69,78,10.11200475692749
96,6,1,manhattan,majority,equal,0.4697986577181208,70,79,9.46296501159668
97,7,1,manhattan,majority,equal,0.42857142857142855,63,84,9.564003467559814
98,8,1,manhattan,majority,equal,0.46938775510204084,69,78,9.59999942779541
99,9,1,manhattan,majority,equal,0.4864864864864865,72,76,9.668999910354614
100,0,1,manhattan,majority,correlation,0.3716216216216216,55,93,9.463001728057861
101,1,1,manhattan,majority,correlation,0.43537414965986393,64,83,9.445038795471191
102,2,1,manhattan,majority,correlation,0.38513513513513514,57,91,9.528000593185425
103,3,1,manhattan,majority,correlation,0.46206896551724136,67,78,9.356999158859253
104,4,1,manhattan,majority,correlation,0.43537414965986393,64,83,9.485946893692017
105,5,1,manhattan,majority,correlation,0.4557823129251701,67,80,9.665032863616943
106,6,1,manhattan,majority,correlation,0.46308724832214765,69,80,9.598989725112915
107,7,1,manhattan,majority,correlation,0.4217687074829932,62,85,9.457950353622437
108,8,1,manhattan,majority,correlation,0.48299319727891155,71,76,9.714037656784058
109,9,1,manhattan,majority,correlation,0.4797297297297297,71,77,9.65298867225647
110,0,1,manhattan,majority,information_gain,0.4594594594594595,68,80,10.089000701904297
111,1,1,manhattan,majority,information_gain,0.4489795918367347,66,81,10.116971254348755
112,2,1,manhattan,majority,information_gain,0.47297297297297297,70,78,10.057987928390503
113,3,1,manhattan,majority,information_gain,0.4896551724137931,71,74,9.847983837127686
114,4,1,manhattan,majority,information_gain,0.4217687074829932,62,85,9.948965311050415
115,5,1,manhattan,majority,information_gain,0.5034013605442177,74,73,9.901952028274536
116,6,1,manhattan,majority,information_gain,0.4899328859060403,73,76,9.948033094406128
117,7,1,manhattan,majority,information_gain,0.4217687074829932,62,85,9.45395565032959
118,8,1,manhattan,majority,information_gain,0.5374149659863946,79,68,9.385038614273071
119,9,1,manhattan,majority,information_gain,0.44594594594594594,66,82,9.510966777801514
120,0,1,manhattan,sheppard,equal,0.39864864864864863,59,89,9.507033586502075
121,1,1,manhattan,sheppard,equal,0.42857142857142855,63,84,9.573967218399048
122,2,1,manhattan,sheppard,equal,0.43243243243243246,64,84,10.068110466003418
123,3,1,manhattan,sheppard,equal,0.5172413793103449,75,70,9.809427976608276
124,4,1,manhattan,sheppard,equal,0.4489795918367347,66,81,9.931000232696533
125,5,1,manhattan,sheppard,equal,0.46938775510204084,69,78,9.452967405319214
126,6,1,manhattan,sheppard,equal,0.4697986577181208,70,79,9.408034801483154
127,7,1,manhattan,sheppard,equal,0.42857142857142855,63,84,9.246003866195679
128,8,1,manhattan,sheppard,equal,0.46938775510204084,69,78,9.273000478744507
129,9,1,manhattan,sheppard,equal,0.4864864864864865,72,76,9.407964944839478
130,0,1,manhattan,sheppard,correlation,0.3716216216216216,55,93,9.434000968933105
131,1,1,manhattan,sheppard,correlation,0.43537414965986393,64,83,9.476003170013428
132,2,1,manhattan,sheppard,correlation,0.38513513513513514,57,91,9.678002834320068
133,3,1,manhattan,sheppard,correlation,0.46206896551724136,67,78,9.314023733139038
134,4,1,manhattan,sheppard,correlation,0.43537414965986393,64,83,9.493952751159668
135,5,1,manhattan,sheppard,correlation,0.4557823129251701,67,80,10.121999979019165
136,6,1,manhattan,sheppard,correlation,0.46308724832214765,69,80,10.453961610794067
137,7,1,manhattan,sheppard,correlation,0.4217687074829932,62,85,10.045037269592285
138,8,1,manhattan,sheppard,correlation,0.48299319727891155,71,76,9.428998947143555
139,9,1,manhattan,sheppard,correlation,0.4797297297297297,71,77,9.495985269546509
140,0,1,manhattan,sheppard,information_gain,0.3918918918918919,58,90,9.595949172973633
141,1,1,manhattan,sheppard,information_gain,0.43537414965986393,64,83,9.512999296188354
142,2,1,manhattan,sheppard,information_gain,0.43243243243243246,64,84,9.574036598205566
143,3,1,manhattan,sheppard,information_gain,0.3931034482758621,57,88,9.403966188430786
144,4,1,manhattan,sheppard,information_gain,0.47619047619047616,70,77,9.864003658294678
145,5,1,manhattan,sheppard,information_gain,0.46258503401360546,68,79,10.152986288070679
146,6,1,manhattan,sheppard,information_gain,0.5033557046979866,75,74,10.00596308708191
147,7,1,manhattan,sheppard,information_gain,0.3877551020408163,57,90,9.380002498626709
148,8,1,manhattan,sheppard,information_gain,0.5306122448979592,78,69,9.373038530349731
149,9,1,manhattan,sheppard,information_gain,0.43243243243243246,64,84,9.615005254745483
150,0,1,manhattan,idw,equal,0.39864864864864863,59,89,9.508997201919556
151,1,1,manhattan,idw,equal,0.42857142857142855,63,84,9.428999662399292
152,2,1,manhattan,idw,equal,0.43243243243243246,64,84,9.49400019645691
153,3,1,manhattan,idw,equal,0.5172413793103449,75,70,9.306628704071045
154,4,1,manhattan,idw,equal,0.4489795918367347,66,81,9.866482496261597
155,5,1,manhattan,idw,equal,0.46938775510204084,69,78,10.133998394012451
156,6,1,manhattan,idw,equal,0.4697986577181208,70,79,9.946000099182129
157,7,1,manhattan,idw,equal,0.42857142857142855,63,84,9.422013759613037
158,8,1,manhattan,idw,equal,0.46938775510204084,69,78,9.440953969955444
159,9,1,manhattan,idw,equal,0.4864864864864865,72,76,9.643999338150024
160,0,1,manhattan,idw,correlation,0.3716216216216216,55,93,9.682015419006348
161,1,1,manhattan,idw,correlation,0.43537414965986393,64,83,9.759034633636475
162,2,1,manhattan,idw,correlation,0.38513513513513514,57,91,9.351032257080078
163,3,1,manhattan,idw,correlation,0.46206896551724136,67,78,9.408986568450928
164,4,1,manhattan,idw,correlation,0.43537414965986393,64,83,9.96400237083435
165,5,1,manhattan,idw,correlation,0.4557823129251701,67,80,9.525948524475098
166,6,1,manhattan,idw,correlation,0.46308724832214765,69,80,9.383034467697144
167,7,1,manhattan,idw,correlation,0.4217687074829932,62,85,9.267987489700317
168,8,1,manhattan,idw,correlation,0.48299319727891155,71,76,9.282999038696289
169,9,1,manhattan,idw,correlation,0.4797297297297297,71,77,9.35195255279541
170,0,1,manhattan,idw,information_gain,0.4189189189189189,62,86,9.560982942581177
171,1,1,manhattan,idw,information_gain,0.5374149659863946,79,68,12.181998252868652
172,2,1,manhattan,idw,information_gain,0.46621621621621623,69,79,13.91200065612793
173,3,1,manhattan,idw,information_gain,0.4689655172413793,68,77,9.87700605392456
174,4,1,manhattan,idw,information_gain,0.4421768707482993,65,82,9.960002422332764
175,5,1,manhattan,idw,information_gain,0.46938775510204084,69,78,10.90700078010559
176,6,1,manhattan,idw,information_gain,0.4563758389261745,68,81,9.922990322113037
177,7,1,manhattan,idw,information_gain,0.3945578231292517,58,89,9.433958530426025
178,8,1,manhattan,idw,information_gain,0.5306122448979592,78,69,9.518001556396484
179,9,1,manhattan,idw,information_gain,0.4527027027027027,67,81,9.543004989624023
180,0,1,cosine,majority,equal,0.3581081081081081,53,95,11.34599494934082
181,1,1,cosine,majority,equal,0.43537414965986393,64,83,11.267035484313965
182,2,1,cosine,majority,equal,0.4594594594594595,68,80,11.345965147018433
183,3,1,cosine,majority,equal,0.46206896551724136,67,78,11.620510339736938
184,4,1,cosine,majority,equal,0.4217687074829932,62,85,11.955008268356323
185,5,1,cosine,majority,equal,0.4489795918367347,66,81,12.101001024246216
186,6,1,cosine,majority,equal,0.5033557046979866,75,74,12.054998636245728
187,7,1,cosine,majority,equal,0.4421768707482993,65,82,11.499999046325684
188,8,1,cosine,majority,equal,0.4557823129251701,67,80,11.261967182159424
189,9,1,cosine,majority,equal,0.49324324324324326,73,75,11.327037811279297
190,0,1,cosine,majority,correlation,0.3581081081081081,53,95,11.372999906539917
191,1,1,cosine,majority,correlation,0.40816326530612246,60,87,11.265944242477417
192,2,1,cosine,majority,correlation,0.43243243243243246,64,84,11.462003707885742
193,3,1,cosine,majority,correlation,0.4689655172413793,68,77,11.243999004364014
194,4,1,cosine,majority,correlation,0.4489795918367347,66,81,11.497037649154663
195,5,1,cosine,majority,correlation,0.4557823129251701,67,80,12.08695387840271
196,6,1,cosine,majority,correlation,0.5100671140939598,76,73,11.964000463485718
197,7,1,cosine,majority,correlation,0.3945578231292517,58,89,11.489001274108887
198,8,1,cosine,majority,correlation,0.47619047619047616,70,77,11.83603572845459
199,9,1,cosine,majority,correlation,0.4797297297297297,71,77,12.040034532546997
200,0,1,cosine,majority,information_gain,0.35135135135135137,52,96,11.404040336608887
201,1,1,cosine,majority,information_gain,0.46258503401360546,68,79,11.393985986709595
202,2,1,cosine,majority,information_gain,0.47297297297297297,70,78,11.483983993530273
203,3,1,cosine,majority,information_gain,0.4896551724137931,71,74,11.262033462524414
204,4,1,cosine,majority,information_gain,0.42857142857142855,63,84,11.437997817993164
205,5,1,cosine,majority,information_gain,0.5034013605442177,74,73,11.789987087249756
206,6,1,cosine,majority,information_gain,0.47651006711409394,71,78,12.015000343322754
207,7,1,cosine,majority,information_gain,0.4557823129251701,67,80,11.125963926315308
