,fold,k,distance,votes,weighting,acc,corr,incorr,time
0,0,1,euclidean,majority,equal,0.722972972972973,107,41,8.212909936904907
1,1,1,euclidean,majority,equal,0.7986577181208053,119,30,8.05651593208313
2,2,1,euclidean,majority,equal,0.8095238095238095,119,28,9.144070863723755
3,3,1,euclidean,majority,equal,0.891156462585034,131,16,7.930665016174316
4,4,1,euclidean,majority,equal,0.8206896551724138,119,26,8.26478099822998
5,5,1,euclidean,majority,equal,0.9121621621621622,135,13,8.008062839508057
6,6,1,euclidean,majority,equal,0.8231292517006803,121,26,7.90674614906311
7,7,1,euclidean,majority,equal,0.8231292517006803,121,26,7.895096063613892
8,8,1,euclidean,majority,equal,0.8783783783783784,130,18,7.9472668170928955
9,9,1,euclidean,majority,equal,0.8367346938775511,123,24,7.848926067352295
10,0,1,euclidean,majority,correlation,0.7702702702702703,114,34,7.921068906784058
11,1,1,euclidean,majority,correlation,0.8187919463087249,122,27,8.932003498077393
12,2,1,euclidean,majority,correlation,0.7619047619047619,112,35,7.9242844581604
13,3,1,euclidean,majority,correlation,0.891156462585034,131,16,7.962397813796997
14,4,1,euclidean,majority,correlation,0.8413793103448276,122,23,7.775379419326782
15,5,1,euclidean,majority,correlation,0.9121621621621622,135,13,8.144006967544556
16,6,1,euclidean,majority,correlation,0.7891156462585034,116,31,7.865799903869629
17,7,1,euclidean,majority,correlation,0.8435374149659864,124,23,7.880033731460571
18,8,1,euclidean,majority,correlation,0.9121621621621622,135,13,8.03510570526123
19,9,1,euclidean,majority,correlation,0.8639455782312925,127,20,7.842262029647827
20,0,1,euclidean,majority,information_gain,0.5878378378378378,87,61,7.952566862106323
21,1,1,euclidean,majority,information_gain,0.6778523489932886,101,48,9.240063428878784
22,2,1,euclidean,majority,information_gain,0.8163265306122449,120,27,7.9301598072052
23,3,1,euclidean,majority,information_gain,0.8231292517006803,121,26,7.860792875289917
24,4,1,euclidean,majority,information_gain,0.7034482758620689,102,43,7.811079502105713
25,5,1,euclidean,majority,information_gain,0.831081081081081,123,25,7.940678358078003
26,6,1,euclidean,majority,information_gain,0.7551020408163265,111,36,7.889127254486084
27,7,1,euclidean,majority,information_gain,0.7482993197278912,110,37,7.85476279258728
28,8,1,euclidean,majority,information_gain,0.8783783783783784,130,18,7.9254255294799805
29,9,1,euclidean,majority,information_gain,0.8231292517006803,121,26,7.952085494995117
30,0,1,euclidean,sheppard,equal,0.722972972972973,107,41,8.04382610321045
31,1,1,euclidean,sheppard,equal,0.7986577181208053,119,30,8.049099445343018
32,2,1,euclidean,sheppard,equal,0.8095238095238095,119,28,7.970354080200195
33,3,1,euclidean,sheppard,equal,0.891156462585034,131,16,8.122709274291992
34,4,1,euclidean,sheppard,equal,0.8206896551724138,119,26,7.854742765426636
35,5,1,euclidean,sheppard,equal,0.9121621621621622,135,13,7.931092023849487
36,6,1,euclidean,sheppard,equal,0.8231292517006803,121,26,7.871772289276123
37,7,1,euclidean,sheppard,equal,0.8231292517006803,121,26,7.929380655288696
38,8,1,euclidean,sheppard,equal,0.8783783783783784,130,18,8.00617790222168
39,9,1,euclidean,sheppard,equal,0.8367346938775511,123,24,7.906689167022705
40,0,1,euclidean,sheppard,correlation,0.7702702702702703,114,34,9.247979640960693
41,1,1,euclidean,sheppard,correlation,0.8187919463087249,122,27,8.03376030921936
42,2,1,euclidean,sheppard,correlation,0.7619047619047619,112,35,7.8764121532440186
43,3,1,euclidean,sheppard,correlation,0.891156462585034,131,16,7.904311418533325
44,4,1,euclidean,sheppard,correlation,0.8413793103448276,122,23,7.796377420425415
45,5,1,euclidean,sheppard,correlation,0.9121621621621622,135,13,8.022350788116455
46,6,1,euclidean,sheppard,correlation,0.7891156462585034,116,31,7.8196022510528564
47,7,1,euclidean,sheppard,correlation,0.8435374149659864,124,23,7.961201906204224
48,8,1,euclidean,sheppard,correlation,0.9121621621621622,135,13,8.098758459091187
49,9,1,euclidean,sheppard,correlation,0.8639455782312925,127,20,8.19551968574524
50,0,1,euclidean,sheppard,information_gain,0.6013513513513513,89,59,7.914093732833862
51,1,1,euclidean,sheppard,information_gain,0.6174496644295302,92,57,8.030128955841064
52,2,1,euclidean,sheppard,information_gain,0.8163265306122449,120,27,7.870754241943359
53,3,1,euclidean,sheppard,information_gain,0.8095238095238095,119,28,7.890085220336914
54,4,1,euclidean,sheppard,information_gain,0.7172413793103448,104,41,7.72059440612793
55,5,1,euclidean,sheppard,information_gain,0.8851351351351351,131,17,7.884662389755249
56,6,1,euclidean,sheppard,information_gain,0.7278911564625851,107,40,7.819639205932617
57,7,1,euclidean,sheppard,information_gain,0.7482993197278912,110,37,7.9215710163116455
58,8,1,euclidean,sheppard,information_gain,0.8243243243243243,122,26,7.953567743301392
59,9,1,euclidean,sheppard,information_gain,0.673469387755102,99,48,9.131655216217041
60,0,1,euclidean,idw,equal,0.722972972972973,107,41,7.904430866241455
61,1,1,euclidean,idw,equal,0.7986577181208053,119,30,7.962201356887817
62,2,1,euclidean,idw,equal,0.8095238095238095,119,28,7.915294885635376
63,3,1,euclidean,idw,equal,0.891156462585034,131,16,7.957182884216309
64,4,1,euclidean,idw,equal,0.8206896551724138,119,26,8.006581544876099
65,5,1,euclidean,idw,equal,0.9121621621621622,135,13,7.928050994873047
66,6,1,euclidean,idw,equal,0.8231292517006803,121,26,7.844184875488281
67,7,1,euclidean,idw,equal,0.8231292517006803,121,26,8.008159399032593
68,8,1,euclidean,idw,equal,0.8783783783783784,130,18,8.15454363822937
69,9,1,euclidean,idw,equal,0.8367346938775511,123,24,8.028459072113037
70,0,1,euclidean,idw,correlation,0.7702702702702703,114,34,7.986368417739868
71,1,1,euclidean,idw,correlation,0.8187919463087249,122,27,7.998319387435913
72,2,1,euclidean,idw,correlation,0.7619047619047619,112,35,7.8980183601379395
73,3,1,euclidean,idw,correlation,0.891156462585034,131,16,7.983628034591675
74,4,1,euclidean,idw,correlation,0.8413793103448276,122,23,7.82335090637207
75,5,1,euclidean,idw,correlation,0.9121621621621622,135,13,7.952581167221069
76,6,1,euclidean,idw,correlation,0.7891156462585034,116,31,8.000823020935059
77,7,1,euclidean,idw,correlation,0.8435374149659864,124,23,7.9690070152282715
78,8,1,euclidean,idw,correlation,0.9121621621621622,135,13,9.147089719772339
79,9,1,euclidean,idw,correlation,0.8639455782312925,127,20,8.101051807403564
80,0,1,euclidean,idw,information_gain,0.6554054054054054,97,51,8.251824140548706
81,1,1,euclidean,idw,information_gain,0.6845637583892618,102,47,8.036317825317383
82,2,1,euclidean,idw,information_gain,0.8163265306122449,120,27,8.377995014190674
83,3,1,euclidean,idw,information_gain,0.8163265306122449,120,27,8.167298555374146
84,4,1,euclidean,idw,information_gain,0.7241379310344828,105,40,8.215529680252075
85,5,1,euclidean,idw,information_gain,0.8581081081081081,127,21,8.017104625701904
86,6,1,euclidean,idw,information_gain,0.8231292517006803,121,26,7.800072908401489
87,7,1,euclidean,idw,information_gain,0.7210884353741497,106,41,7.9233293533325195
88,8,1,euclidean,idw,information_gain,0.8175675675675675,121,27,7.882920265197754
89,9,1,euclidean,idw,information_gain,0.7142857142857143,105,42,7.845899820327759
90,0,1,manhattan,majority,equal,0.7162162162162162,106,42,7.754887819290161
91,1,1,manhattan,majority,equal,0.8053691275167785,120,29,7.734834432601929
92,2,1,manhattan,majority,equal,0.8231292517006803,121,26,7.6976165771484375
93,3,1,manhattan,majority,equal,0.8775510204081632,129,18,7.68811559677124
94,4,1,manhattan,majority,equal,0.8275862068965517,120,25,7.515332460403442
95,5,1,manhattan,majority,equal,0.9054054054054054,134,14,7.770730257034302
96,6,1,manhattan,majority,equal,0.8367346938775511,123,24,7.640469074249268
97,7,1,manhattan,majority,equal,0.8095238095238095,119,28,8.882016658782959
98,8,1,manhattan,majority,equal,0.8783783783783784,130,18,7.686593532562256
99,9,1,manhattan,majority,equal,0.8367346938775511,123,24,7.661541223526001
100,0,1,manhattan,majority,correlation,0.7567567567567568,112,36,7.832834005355835
101,1,1,manhattan,majority,correlation,0.8389261744966443,125,24,7.754013538360596
102,2,1,manhattan,majority,correlation,0.7619047619047619,112,35,7.687219142913818
103,3,1,manhattan,majority,correlation,0.8979591836734694,132,15,7.767691373825073
104,4,1,manhattan,majority,correlation,0.8620689655172413,125,20,7.575093030929565
105,5,1,manhattan,majority,correlation,0.8986486486486487,133,15,7.717571496963501
106,6,1,manhattan,majority,correlation,0.7482993197278912,110,37,7.686690807342529
107,7,1,manhattan,majority,correlation,0.8299319727891157,122,25,7.730192184448242
108,8,1,manhattan,majority,correlation,0.918918918918919,136,12,7.7848827838897705
109,9,1,manhattan,majority,correlation,0.8367346938775511,123,24,7.701882362365723
110,0,1,manhattan,majority,information_gain,0.6959459459459459,103,45,7.748481273651123
111,1,1,manhattan,majority,information_gain,0.6174496644295302,92,57,7.812400579452515
112,2,1,manhattan,majority,information_gain,0.7551020408163265,111,36,7.623410701751709
113,3,1,manhattan,majority,information_gain,0.7414965986394558,109,38,7.684844255447388
114,4,1,manhattan,majority,information_gain,0.6689655172413793,97,48,7.58512544631958
115,5,1,manhattan,majority,information_gain,0.8378378378378378,124,24,7.816725492477417
