,fold,k,distance,votes,weighting,acc,corr,incorr,time
0,0,1,euclidean,majority,equal,1.0,99,0,3.7551488876342773
1,1,1,euclidean,majority,equal,0.98989898989899,98,1,3.646577835083008
2,2,1,euclidean,majority,equal,1.0,99,0,3.593444585800171
3,3,1,euclidean,majority,equal,1.0,99,0,3.5977838039398193
4,4,1,euclidean,majority,equal,1.0,99,0,3.6379542350769043
5,5,1,euclidean,majority,equal,0.9696969696969697,96,3,3.842440366744995
6,6,1,euclidean,majority,equal,1.0,99,0,3.7607572078704834
7,7,1,euclidean,majority,equal,0.98989898989899,98,1,3.611665725708008
8,8,1,euclidean,majority,equal,1.0,99,0,3.646625518798828
9,9,1,euclidean,majority,equal,1.0,99,0,3.63155198097229
10,0,1,euclidean,majority,correlation,0.98989898989899,98,1,3.6223998069763184
11,1,1,euclidean,majority,correlation,0.98989898989899,98,1,3.6263601779937744
12,2,1,euclidean,majority,correlation,0.98989898989899,98,1,3.619783639907837
13,3,1,euclidean,majority,correlation,1.0,99,0,3.7160446643829346
14,4,1,euclidean,majority,correlation,1.0,99,0,3.6380085945129395
15,5,1,euclidean,majority,correlation,0.98989898989899,98,1,3.683109998703003
16,6,1,euclidean,majority,correlation,0.9696969696969697,96,3,3.6272900104522705
17,7,1,euclidean,majority,correlation,1.0,99,0,4.006869554519653
18,8,1,euclidean,majority,correlation,1.0,99,0,5.175186395645142
19,9,1,euclidean,majority,correlation,1.0,99,0,4.080522537231445
20,0,1,euclidean,majority,information_gain,1.0,99,0,4.558854341506958
21,1,1,euclidean,majority,information_gain,0.98989898989899,98,1,3.8209099769592285
22,2,1,euclidean,majority,information_gain,1.0,99,0,4.217829942703247
23,3,1,euclidean,majority,information_gain,0.98989898989899,98,1,3.7959773540496826
24,4,1,euclidean,majority,information_gain,1.0,99,0,3.759577989578247
25,5,1,euclidean,majority,information_gain,0.98989898989899,98,1,4.032691240310669
26,6,1,euclidean,majority,information_gain,0.98989898989899,98,1,4.614335536956787
27,7,1,euclidean,majority,information_gain,1.0,99,0,3.7732884883880615
28,8,1,euclidean,majority,information_gain,1.0,99,0,4.383043050765991
29,9,1,euclidean,majority,information_gain,1.0,99,0,4.087960720062256
30,0,1,euclidean,sheppard,equal,1.0,99,0,3.68284273147583
31,1,1,euclidean,sheppard,equal,0.98989898989899,98,1,4.029050350189209
32,2,1,euclidean,sheppard,equal,1.0,99,0,4.5842859745025635
33,3,1,euclidean,sheppard,equal,1.0,99,0,3.782886266708374
34,4,1,euclidean,sheppard,equal,1.0,99,0,3.6665759086608887
35,5,1,euclidean,sheppard,equal,0.9696969696969697,96,3,3.767383337020874
36,6,1,euclidean,sheppard,equal,1.0,99,0,3.9884464740753174
37,7,1,euclidean,sheppard,equal,0.98989898989899,98,1,4.4884257316589355
38,8,1,euclidean,sheppard,equal,1.0,99,0,3.790093421936035
39,9,1,euclidean,sheppard,equal,1.0,99,0,3.74906587600708
40,0,1,euclidean,sheppard,correlation,0.98989898989899,98,1,4.090339660644531
41,1,1,euclidean,sheppard,correlation,0.98989898989899,98,1,4.238348484039307
42,2,1,euclidean,sheppard,correlation,0.98989898989899,98,1,3.6614198684692383
43,3,1,euclidean,sheppard,correlation,1.0,99,0,3.7140467166900635
